IRTT,"	ORTT","	T1","		G","		HNG","		phiL","	phiR","	UX1	","	UY1","		UX2	","	UY2","		UX3	","	UY3	","	UX4	","	UY4	","	UX5","		UY5","		UX6","		UY6	","	MaxVM", Error
0.003,0.024,0.7,0.03,0.03,0.2,0.2,-0.487249,-0.031023,-0.180261,-0.053681,-0.141729,-0.050723,0.158203,0.018527,0.176356,0.019207,0.480632,-0.027384,107359880,0.171371
0.015,0.027,0.26,0.03,0.03,0.2,0.2,-0.481845,-0.028203,-0.175826,0.005069,-0.145632,0.008554,0.159922,0.045857,0.178898,0.044814,0.478521,-0.025762,34536080,0.476705
0.011,0.024,0.25,0.03,0.03,0.2,0.2,-0.482037,-0.028326,-0.175799,0.002866,-0.145212,0.00639,0.160096,0.045658,0.178881,0.04469,0.478531,-0.02577,40814184,0.465764
0.012,0.024,0.19,0.03,0.03,0.2,0.2,-0.481369,-0.027891,-0.175959,0.010568,-0.146782,0.013932,0.159367,0.045991,0.17889,0.044751,0.478526,-0.025766,35573108,0.502659
0.007,0.015,0.53,0.03,0.03,0.2,0.2,-0.488135,-0.031372,-0.181915,-0.062739,-0.142466,-0.060192,0.157181,0.01028,0.175982,0.011255,0.48131,-0.027851,457120064,0.131525
0.01,0.017,0.23,0.03,0.03,0.2,0.2,-0.482915,-0.028864,-0.175864,-0.007089,-0.143593,-0.003442,0.160576,0.043844,0.178676,0.043192,0.478652,-0.02587,24259134,0.413863
0.005,0.026,0.11,0.03,0.03,0.2,0.2,-0.480404,-0.027221,-0.176528,0.021912,-0.149652,0.024924,0.157562,0.044281,0.178595,0.04258,0.478701,-0.025911,15887300,0.54859
0.005,0.03,0.24,0.03,0.03,0.2,0.2,-0.481398,-0.02791,-0.175948,0.010234,-0.146708,0.013607,0.159406,0.045998,0.178893,0.044771,0.478525,-0.025765,21907078,0.501008
0.004,0.025,0.54,0.03,0.03,0.2,0.2,-0.485139,-0.030069,-0.17732,-0.031497,-0.141459,-0.027941,0.160085,0.033916,0.17757,0.033957,0.479403,-0.026472,61181200,0.282648
0.004,0.012,0.37,0.03,0.03,0.2,0.2,-0.48522,-0.030109,-0.177406,-0.032365,-0.141429,-0.028822,0.160033,0.033429,0.177521,0.033495,0.479441,-0.026501,758886784,0.277895
