IRTT,"	ORTT","	T1","		T2","		T3","		G","		HNG","		phiL","	phiR","	UX1","		UY1","		UX2	","	UY2	","	UX3	","	UY3	","	UX4	","	UY4","		UX5","		UY5","		UX6","		UY6	","	UX7","		UY7","		UX8","		UY8","		UX9","		UY9","		UX10","		UY10","		MaxVM",Error
0.006,0.013,0.19,0.15,0.1,0.028,0.046,0.23,0.24,-0.475882,-0.041597,-0.306245,-0.001878,-0.288951,0.000148,-0.114727,0.000713,-0.086727,0.000804,0.087497,0.001369,0.115496,0.001459,0.28972,0.002024,0.306236,0.00006,0.475467,-0.041354,207026352,0.300978
0.013,0.023,0.7,0.48,0.02,0.044,0.036,0.28,0.23,-0.468908,-0.028518,-0.316425,0.015329,-0.283814,0.019657,-0.125173,0.017098,-0.081179,0.016388,0.077462,0.01383,0.121456,0.01312,0.280097,0.010562,0.315889,0.006135,0.470372,-0.030036,117762760,0.026006
0.004,0.013,0.45,0.43,0,0.049,0.034,0.16,0.25,-0.470396,-0.029662,-0.319525,-0.005315,-0.275267,-0.001112,-0.122511,0.003375,-0.073532,0.004814,0.079225,0.009301,0.128204,0.01074,0.28096,0.015227,0.319778,0.010927,0.46785,-0.026882,278453888,0.063719
0.011,0.028,0.85,0.79,0.12,0.048,0.041,0.17,0.16,-0.469409,-0.036349,-0.318522,-0.010448,-0.27794,-0.007057,-0.124846,-0.00756,-0.076847,-0.007718,0.076247,-0.008222,0.124246,-0.00838,0.27734,-0.008883,0.318636,-0.012262,0.469774,-0.036653,150224704,0.021497
0.004,0.018,0.28,0.2,0.13,0.036,0.029,0.2,0.27,-0.476597,-0.024846,-0.313609,0.008194,-0.283076,0.011607,-0.116815,0.01538,-0.080824,0.016197,0.085437,0.01997,0.121427,0.020787,0.287688,0.02456,0.314638,0.02121,0.474917,-0.023148,83544488,0.209156
0.006,0.013,0.33,0.19,0.08,0.023,0.047,0.24,0.25,-0.477658,-0.042919,-0.303381,-0.000271,-0.29173,0.001153,-0.112312,0.001733,-0.089312,0.001808,0.090107,0.002388,0.113107,0.002462,0.292525,0.003042,0.303388,0.001695,0.47723,-0.042694,649931392,0.260431
0.012,0.017,0.72,0.39,0.1,0.037,0.023,0.19,0.22,-0.477489,-0.019092,-0.315749,0.012014,-0.283201,0.015276,-0.118505,0.016888,-0.081507,0.017251,0.083189,0.018863,0.120187,0.019225,0.284884,0.020838,0.316192,0.017535,0.476927,-0.018408,973137664,0.01167
0.006,0.024,0.24,0.12,0.11,0.044,0.036,0.21,0.14,-0.470979,-0.030623,-0.317124,0.00217,-0.281945,0.005469,-0.124676,0.001855,-0.080688,0.000845,0.076581,-0.002769,0.120569,-0.00378,0.277838,-0.007394,0.317421,-0.010626,0.473192,-0.032578,15742519,0.148284
0.006,0.019,0.86,0.78,0.16,0.047,0.044,0.11,0.29,-0.471812,-0.041154,-0.317608,-0.024123,-0.273037,-0.020353,-0.118163,-0.011243,-0.071244,-0.008483,0.08363,0.000628,0.130549,0.003388,0.285423,0.012499,0.316236,0.00892,0.464899,-0.035443,691870464,0.030346
0.007,0.019,0.1,0.09,0.15,0.036,0.044,0.12,0.16,-0.476862,-0.041529,-0.313235,-0.021799,-0.282052,-0.019719,-0.117255,-0.017543,-0.081258,-0.017068,0.08354,-0.014892,0.119537,-0.014417,0.284335,-0.012241,0.312513,-0.014313,0.47522,-0.04057,15157193,0.221357
0.009,0.019,0.02,0.02,0.05,0.024,0.045,0.11,0.18,-0.483133,-0.043411,-0.307278,-0.023988,-0.287255,-0.022654,-0.110377,-0.01857,-0.086384,-0.018016,0.090493,-0.013932,0.114487,-0.013378,0.291364,-0.009294,0.306072,-0.01045,0.480138,-0.042125,10606082,0.267002
0.004,0.022,0.47,0.27,0.09,0.048,0.045,0.23,0.12,-0.466373,-0.038344,-0.316984,-0.003365,-0.281515,0.000085,-0.128185,-0.005452,-0.080217,-0.007185,0.073113,-0.012722,0.121082,-0.014454,0.274411,-0.019991,0.31846,-0.023436,0.470786,-0.041803,63367528,0.029228
0.011,0.022,0.35,0.35,0.17,0.023,0.036,0.16,0.17,-0.482911,-0.033708,-0.307092,-0.005334,-0.289856,-0.003924,-0.111763,-0.003338,-0.088763,-0.003263,0.08933,-0.002677,0.11233,-0.002602,0.290423,-0.002016,0.307048,-0.003405,0.482575,-0.033535,38881432,0.166012
