IRTT,	ORTT,	T1,		T2,	G,		HNG	,	phiL,	phiR,	UX1,		UY1	,	UX2	,	UY2	,	UX3	,	UY3	,	UX4	,	UY4	,	UX5,		UY5,		UX6	,	UY6,		UX7,		UY7,		UX8,		UY8,MaxVM,Error
  0.008000,  0.015000,  0.770000,  0.690000,  0.030000,  0.030000,  0.200000,  0.200000, -0.491431, -0.032428, -0.273588, -0.077795, -0.236169, -0.080618, -0.013985, -0.068447,  0.019577, -0.064428,  0.238353, -0.023802,  0.261614, -0.022052,  0.484007, -0.029482,1095447552.000000,  0.031285
  0.008000,  0.028000,  0.170000,  0.120000,  0.030000,  0.030000,  0.200000,  0.200000, -0.480890, -0.027565, -0.260630,  0.004048, -0.235529,  0.005638, -0.013041,  0.002061,  0.020252,  0.003396,  0.241740,  0.024774,  0.261752,  0.023494,  0.478712, -0.025920,19381072.000000,  0.348829
  0.012000,  0.022000,  0.480000,  0.400000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485240, -0.030119, -0.262731, -0.031897, -0.233476, -0.032491, -0.011077, -0.039732,  0.026030, -0.036278,  0.243271,  0.011888,  0.260910,  0.012253,  0.479956, -0.026893,63443832.000000,  0.129506
  0.015000,  0.024000,  0.570000,  0.410000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485795, -0.030385, -0.263356, -0.036244, -0.234424, -0.037506, -0.012319, -0.051043,  0.026018, -0.047722,  0.242486,  0.003809,  0.260641,  0.004616,  0.480825, -0.027519,87948352.000000,  0.088747
  0.010000,  0.014000,  0.430000,  0.220000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485363, -0.030179, -0.262862, -0.032860, -0.232962, -0.033269, -0.010471, -0.036667,  0.025988, -0.033052,  0.243477,  0.013983,  0.261019,  0.014227,  0.479735, -0.026727,966242560.000000,  0.139469
  0.014000,  0.026000,  0.910000,  0.790000,  0.030000,  0.030000,  0.200000,  0.200000, -0.489184, -0.031749, -0.268701, -0.061765, -0.236082, -0.064674, -0.013766, -0.074144,  0.024141, -0.070433,  0.240397, -0.018023,  0.261142, -0.016155,  0.483283, -0.029078,165235616.000000,  0.028339
  0.007000,  0.012000,  0.090000,  0.080000,  0.030000,  0.030000,  0.200000,  0.200000, -0.480811, -0.027510, -0.260643,  0.004732, -0.234750,  0.006791, -0.012253,  0.009752,  0.019446,  0.011094,  0.241397,  0.026951,  0.261937,  0.025302,  0.478516, -0.025758,166751456.000000,  0.387760
  0.012000,  0.019000,  0.120000,  0.070000,  0.030000,  0.030000,  0.200000,  0.200000, -0.480876, -0.027555, -0.260632,  0.004167, -0.235668,  0.005704, -0.013197,  0.001232,  0.020274,  0.002540,  0.241717,  0.024369,  0.261716,  0.023126,  0.478753, -0.025953,69297896.000000,  0.344559
  0.008000,  0.024000,  0.230000,  0.200000,  0.030000,  0.030000,  0.200000,  0.200000, -0.481806, -0.028177, -0.260627, -0.003814, -0.234296, -0.002498, -0.011790, -0.004678,  0.022167, -0.002696,  0.242907,  0.025364,  0.261843,  0.024404,  0.478614, -0.025838,36047392.000000,  0.307690
  0.002000,  0.016000,  0.020000,  0.020000,  0.030000,  0.030000,  0.200000,  0.200000, -0.479612, -0.026633, -0.261087,  0.015327, -0.236954,  0.017647, -0.014437,  0.018092,  0.016011,  0.018381,  0.238495,  0.022164,  0.261429,  0.019955,  0.479100, -0.026233,18158342.000000,  0.435559
  0.004000,  0.022000,  0.980000,  0.570000,  0.030000,  0.030000,  0.200000,  0.200000, -0.490376, -0.032131, -0.271165, -0.070349, -0.239330, -0.074728, -0.017942, -0.097112,  0.019930, -0.095751,  0.239140, -0.057530,  0.266705, -0.053738,  0.488094, -0.031357,871776768.000000,  0.023693
  0.003000,  0.028000,  0.050000,  0.040000,  0.030000,  0.030000,  0.200000,  0.200000, -0.479783, -0.026763, -0.260994,  0.013798, -0.236803,  0.015985, -0.014287,  0.015325,  0.016756,  0.015777,  0.239158,  0.022910,  0.261509,  0.020883,  0.478998, -0.026152,7185869.000000,  0.421771
  0.008000,  0.017000,  0.390000,  0.210000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485291, -0.030144, -0.262784, -0.032294, -0.234799, -0.033485, -0.012915, -0.050257,  0.025774, -0.047241,  0.242380,  0.003706,  0.260638,  0.004497,  0.480838, -0.027529,192973696.000000,  0.093027
  0.005000,  0.020000,  0.730000,  0.420000,  0.030000,  0.030000,  0.200000,  0.200000, -0.488682, -0.031574, -0.267750, -0.058089, -0.237520, -0.061501, -0.016237, -0.084897,  0.023373, -0.082353,  0.239843, -0.030833,  0.262273, -0.028283,  0.484784, -0.029891,458147104.000000,  0.015742
  0.004000,  0.018000,  0.220000,  0.180000,  0.030000,  0.030000,  0.200000,  0.200000, -0.482399, -0.028552, -0.260759, -0.008825, -0.233900, -0.007821, -0.011405, -0.010945,  0.023269, -0.008622,  0.243359,  0.024148,  0.261747,  0.023449,  0.478717, -0.025924,76427768.000000,  0.272196
  0.007000,  0.015000,  0.640000,  0.570000,  0.030000,  0.030000,  0.200000,  0.200000, -0.489423, -0.031830, -0.269172, -0.063502, -0.233961, -0.065370, -0.011595, -0.057189,  0.023360, -0.052756,  0.240730, -0.005174,  0.260631, -0.004108,  0.481840, -0.028200,812015552.000000,  0.056501
  0.018000,  0.029000,  0.820000,  0.670000,  0.030000,  0.030000,  0.200000,  0.200000, -0.487231, -0.031015, -0.265308, -0.047266, -0.234699, -0.049164, -0.012469, -0.060456,  0.025789, -0.056785,  0.241816, -0.003440,  0.260607, -0.002256,  0.481622, -0.028058,136797184.000000,  0.057719
  0.013000,  0.018000,  0.330000,  0.230000,  0.030000,  0.030000,  0.200000,  0.200000, -0.483876, -0.029411, -0.261519, -0.020999, -0.233588, -0.020898, -0.011175, -0.027702,  0.025218, -0.024734,  0.243591,  0.018007,  0.261269,  0.017941,  0.479322, -0.026408,236978240.000000,  0.185301
  0.001000,  0.012000,  0.450000,  0.300000,  0.030000,  0.030000,  0.200000,  0.200000, -0.486264, -0.030599, -0.263941, -0.039878, -0.231202, -0.039731, -0.008971, -0.028458,  0.024882, -0.024366,  0.243400,  0.017633,  0.261240,  0.017551,  0.479365, -0.026442,887648384.000000,  0.159926
  0.009000,  0.014000,  0.750000,  0.410000,  0.030000,  0.030000,  0.200000,  0.200000, -0.489886, -0.031980, -0.270119, -0.066848, -0.236206, -0.069863, -0.013733, -0.074312,  0.023276, -0.070434,  0.239995, -0.019969,  0.261278, -0.018062,  0.483516, -0.029211,1831688320.000000,  0.027916
  0.011000,  0.029000,  0.950000,  0.930000,  0.030000,  0.030000,  0.200000,  0.200000, -0.488530, -0.031519, -0.267473, -0.056971, -0.234368, -0.058996, -0.011858, -0.060682,  0.024914, -0.056503,  0.241372, -0.004932,  0.260625, -0.003738,  0.481797, -0.028171,175646080.000000,  0.053413
  0.017000,  0.026000,  0.110000,  0.100000,  0.030000,  0.030000,  0.200000,  0.200000, -0.480411, -0.027226, -0.260738,  0.008235, -0.235787,  0.010204, -0.013271,  0.009638,  0.018729,  0.010642,  0.240773,  0.025148,  0.261750,  0.023480,  0.478714, -0.025921,24130022.000000,  0.390167
